Group,Word,Value
0,0,sof
0,1,nuk
0,2,fon
0,3,mim
0,4,pas
1,0,pom
1,1,kom
1,2,mep
1,3,kip
1,4,kon
2,0,fot
2,1,paf
2,2,kaf
2,3,tok
2,4,fat
3,0,fis
3,1,pam
3,2,kak
3,3,nef
3,4,tit
4,0,kek
4,1,sos
4,2,maf
4,3,pan
4,4,fom
5,0,fup
5,1,set
5,2,nit
5,3,fit
5,4,nep
6,0,kik
6,1,fak
6,2,kep
6,3,tas
6,4,mot
7,0,mas
7,1,mop
7,2,mun
7,3,sot
7,4,kan
8,0,kut
8,1,nus
8,2,tup
8,3,nas
8,4,kam
9,0,sif
9,1,saf
9,2,nos
9,3,fip
9,4,tif
10,0,pup
10,1,sap
10,2,pus
10,3,nop
10,4,min
11,0,sop
11,1,tum
11,2,mat
11,3,kem
11,4,kif
12,0,pif
12,1,mek
12,2,tik
12,3,mof
12,4,nok
13,0,pat
13,1,sik
13,2,muf
13,3,kus
13,4,kop
14,0,tuk
14,1,fus
14,2,kes
14,3,pep
14,4,kef
15,0,sum
15,1,mik
15,2,tet
15,3,met
15,4,tem
16,0,nen
16,1,sek
16,2,tot
16,3,sep
16,4,nin
17,0,faf
17,1,fas
17,2,nek
17,3,tam
17,4,sut
18,0,sim
18,1,nes
18,2,sup
18,3,tus
18,4,fum
19,0,puk
19,1,sun
19,2,fap
19,3,kun
19,4,kap
20,0,kok
20,1,ken
20,2,ket
20,3,fef
20,4,nup
21,0,fop
21,1,som
21,2,tuf
21,3,muk
21,4,mif
22,0,kat
22,1,nak
22,2,sis
22,3,tim
22,4,mup
23,0,pip
23,1,tom
23,2,pok
23,3,nam
23,4,fuk
24,0,mip
24,1,nan
24,2,pun
24,3,tos
24,4,nif
25,0,mef
25,1,mes
25,2,sin
25,3,men
25,4,pum
26,0,sak
26,1,sen
26,2,nuf
26,3,tun
26,4,fes
27,0,kot
27,1,pet
27,2,tut
27,3,tak
27,4,pin
28,0,mit
28,1,non
28,2,mut
28,3,map
28,4,man
29,0,tip
29,1,pit
29,2,mem
29,3,fin
29,4,kup
30,0,pos
30,1,kim
30,2,pik
30,3,sok
30,4,pek
31,0,kis
31,1,naf
31,2,sit
31,3,nat
31,4,suf
32,0,fep
32,1,mam
32,2,pis
32,3,pim
32,4,man
33,0,puf
33,1,fuf
33,2,kin
33,3,fan
33,4,pes
34,0,fik
34,1,ten
34,2,fif
34,3,mos
34,4,kas
35,0,nof
35,1,fim
35,2,pot
35,3,ton
35,4,kop
36,0,tan
36,1,mak
36,2,suk
36,3,sat
36,4,net
37,0,tep
37,1,sus
37,2,kuk
37,3,tap
37,4,fut
38,0,pak
38,1,fos
